[QUOTE_DATE],[UNDERLYING_LAST],[EXPIRE_DATE],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_BID],[C_ASK],[STRIKE]
2010-06-01,1070.010000,2010-06-03,2.000000,0.992270,0.000210,0.021520,-0.246440,0.068940,1.078030,,217.810000,222.800000,850.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.990570,0.000230,0.023880,-0.244760,0.071030,0.956780,,193.300000,197.310000,875.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.985760,0.000410,0.035340,-0.355660,0.073010,0.886480,,168.510000,172.410000,900.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.979940,0.000610,0.047210,-0.458930,0.074200,0.798610,,143.710000,147.500000,925.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.968060,0.001020,0.068880,-0.649110,0.075090,0.720090,,119.000000,122.790000,950.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.945580,0.001790,0.106680,-0.983180,0.075400,0.651960,,94.590000,98.400000,975.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.902110,0.003070,0.167130,-1.520390,0.073260,0.589010,,70.700000,74.700000,1000.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.819400,0.005050,0.254750,-2.288780,0.068210,0.533560,1.000000,48.200000,52.190000,1025.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.676300,0.007730,0.348470,-2.983890,0.056680,0.476930,1.000000,28.010000,32.010000,1050.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.458840,0.009650,0.385240,-2.977640,0.039500,0.422770,29.000000,12.000000,16.010000,1075.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.220670,0.007940,0.288350,-1.914470,0.019510,0.388150,69.000000,3.910000,5.500000,1100.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.062760,0.003570,0.118800,-0.603830,0.005770,0.356520,,0.910000,0.960000,1125.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.011100,0.000910,0.028110,-0.104780,0.001200,0.345440,,0.110000,0.150000,1150.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.006390,0.000390,0.016880,-0.065660,0.000560,0.407680,248.000000,0.050000,0.100000,1175.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.002150,0.000140,0.006330,-0.022740,0.000480,0.437340,100.000000,0.000000,0.050000,1200.000000
2010-06-01,1070.010000,2010-06-03,2.000000,0.002030,0.000080,0.005820,-0.023420,0.000380,0.508500,,0.000000,0.050000,1225.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,868.010000,871.400000,200.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,768.100000,771.400000,300.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,668.100000,671.400000,400.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,568.110000,571.500000,500.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,518.110000,521.500000,550.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,468.110000,471.500000,600.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,442.600000,446.010000,625.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,418.190000,421.500000,650.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,393.200000,396.490000,675.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,100.000000,368.200000,371.610000,700.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,363.210000,366.300000,705.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,358.000000,361.300000,710.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,353.200000,356.310000,715.000000
2010-06-01,1070.010000,2010-06-17,16.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,348.300000,351.600000,720.000000
